cliente_id,nombre,genero,edad,departamento,municipio,fecha_registro,segmento_cliente
1,Carlos Hernánde,M,35,Guatemala,Villa Nueva,18/05/2022,Nuevo
2,Carlos López,F,38,Sacatepéquez,San Lucas Sacatepéquez,2025-09-12,Premium
3,Juan Cruz,M,58,Izabal,Puerto Barrios,2025.06.20,Corporativo
4,Sofía López,M,72,Petén,San Benito,05-31-2021,Corporativo
5,Luis Cruz,F,23,Alta Verapaz,Cobán,08-13-2022,Frecuente
6,Sofía Morales,F,42,Escuintla,Escuintla,07-22-2024,Nuevo
7,Gabriela  Pérez,F,23,Sacatepéquez,Sin dato,11-17-2022,premium
8,Gabriela Méndez,M,27,Petén,Flores,05-09-2025,Premium
9,Carlos Méndez,M,28,Alta Verapaz,Tactic,12-27-2024,Premium
10,Sofía García,F,73,Guatemala,Mixco,2022.07.11,Frecuente
11,Pedro López,F,50,Alta Verapaz,San Pedro Carchá,2022.11.30,Inactivo
12,Lucía Santos,M,43,Escuintla,Santa Lucía Cotzumalguapa,2024-06-02,Inactivo
13,Gabriela Cruz,M,25,Izabal,Morales,30/01/2022,Corporativo
14,Pedro Castillo,M,34,Guatemala,San Miguel Petapa,2024/05/24,Nuevo
15,Pedro Ramírez,F,24,Guatemala,Santa Catarina Pinula,05-24-2022,Inactivo
16,Ana Gómez,M,25,Chimaltenango,El Tejar,28/01/2023,Inactivo
17,Rosa Cruz,F,67,Izabal,Livingston,2022/06/03,Frecuente
18,Ana Cru,F,18,Alta Verapaz,San Pedro Carchá,11-08-2025,Frecuente
19,Lucía Cruz,F,52,Sacatepéquez,Antigua Guatemala,2021.05.04,Corporativo
20,Andrea Gómez,F,49,Petén,Sayaxché,2023/04/25,inactivo
21,José Gómez,F,37,Petén,Sayaxché,29/04/2023,Inactivo
22,Sofía Díaz,M,42,Petén,San Benito,2023/08/01,Inactivo
23,Andrea Ramírez,F,41,Izabal,Livingston,05-19-2026,Frecuente
24,Juan López,F,28,Izabal,Puerto Barrios,2021-11-07,Corporativo
25,Ana García,F,46,Escuintla,Palín,2022/08/21,Corporativo
26,Ana Castillo,F,22,Quetzaltenango,Quetzaltenango,2025.10.14,Premium
27,Diego Gómez,F,72,Alta Verapaz,NULL,13/01/2025,Inactivo
28,Pedro Méndez,M,61,Sacatepéquez,Jocotenango,2021/02/24,Nuevo
29,Andrea Gómez,F,24,Escuintla,Escuintla,06-01-2022,Nuevo
30,Rosa García,M,36,Sacatepéquez,Antigua Guatemala,07-26-2021,Corporativo
31,María  Gómez,F,0,Alta Verapaz,Tactic,05-12-2025,Premium
32,Fernanda Cruz,F,43,Guatemala,Guatemala,16/02/2021,Premium
33,Luis Morales,F,20,Quetzaltenango,Salcajá,30/03/2024,Corporativo
34,Sofía García,F,22,Petén,Sayaxché,14/03/2021,Inactivo
35,Fernanda Santos,M,74,Guatemala,San Miguel Petapa,08/11/2021,Inactivo
36,José Ramírez,F,44,Petén,Sayaxché,2021.10.22,Inactivo
37,Rosa Méndez,M,33,Sacatepéquez,San Lucas Sacatepéquez,2025.09.04,Inactivo
38,María López,M,41,Alta Verapaz,Cobán,2022.04.20,Corporativo
39,Rosa Castillo,M,66,Sacatepéquez,San Lucas Sacatepéquez,2026/01/14,Premium
40,Carlos Santos,F,63,Escuintla,Escuintla,11-05-2024,Frecuente
41,Diego Gómez,M,67,Quetzaltenango,Coatepeque,05-25-2023,Corporativo
42,Gabriela Pérez,M,38,Petén,No Especificado,2024.01.28,Corporativo
43,Luis López,M,29,Alta Verapaz,Tactic,2021/09/14,Premium
44,Luis  López,M,25,Sacatepéquez,Ciudad Vieja,2022/04/14,Corporativo
45,Carlos García,F,50,Sacatepéquez,San Lucas Sacatepéquez,08-14-2024,Corporativo
46,Ana Pérez,M,37,Guatemal,San Miguel Petapa,2023.03.14,premium
47,Gabriela Ramírez,F,27,Chimaltenango,El Tejar,2023.09.02,Frecuente
48,Lucía Morales,M,68,Escuintla,Escuintla,2023-08-13,Inactivo
49,Miguel Cruz,M,51,Petén,Sayaxché,2025/05/11,Frecuente
50,Pedro Santos,F,23,Quetzaltenango,Coatepeque,2026/06/04,Corporativo
